"rtems_barrier_create: only case",tm30,NA,Yes
"rtems_barrier_delete: only case",tm30,NA,Yes
"rtems_barrier_ident: only case",tm30,NA,Yes
,,,
"rtems_clock_tick: only case",tm25,NA,Yes
,,,
"rtems_event_receive: available",tm15,NA,Yes
"rtems_event_receive: not available caller blocks",tm15,NA,Yes
"rtems_event_receive: not available NO_WAIT",tm15,NA,Yes
"rtems_event_receive: obtain current events",tm15,NA,Yes
"rtems_event_send: no task readied",tm15,NA,Yes
"rtems_event_send: task readied preempts caller",tm16,NA,Yes
"rtems_event_send: task readied returns to caller",tm15,NA,Yes
,,,
"rtems internal: context switch: no floating point contexts",tm26,NA,Yes
"rtems internal: context switch: self",tm26,NA,Yes
"rtems internal: context switch to another task",tm26,NA,Yes
"rtems internal: fp context switch restore 1st FP task",tm26,NA,Yes
"rtems internal: fp context switch save idle and restore initialized",tm26,NA,Yes
"rtems internal: fp context switch save idle, restore idle",tm26,NA,Yes
"rtems internal: fp context switch save initialized, restore initialized",tm26,NA,Yes
"rtems internal: _Semaphore_Get",tm26,NA,Yes
"rtems internal: _Thread_Disable_dispatch",tm26,NA,Yes
"rtems internal: _Thread_Dispatch NO FP",tm26,NA,Yes
"rtems internal: _Thread_Enable_dispatch",tm26,NA,Yes
"rtems internal: _Thread_Get: invalid id",tm26,NA,Yes
"rtems internal: _Thread_Get",tm26,NA,Yes
"rtems internal: _Thread_Ready",tm26,NA,Yes
"rtems internal: _Thread_Resume",tm26,NA,Yes
"rtems internal: _Thread_Set_state",tm26,NA,Yes
"rtems internal: _Thread_Unblock",tm26,NA,Yes
,,,
"rtems interrupt: entry overhead returns to interrupted task",tm27,NA,Yes
"rtems interrupt: entry overhead returns to nested interrupt",tm27,NA,Yes
"rtems interrupt: exit overhead returns to interrupted task",tm27,NA,Yes
"rtems interrupt: exit overhead returns to nested interrupt",tm27,NA,Yes
"rtems interrupt: _ISR_Disable",tm26,NA,Yes
"rtems interrupt: _ISR_Enable",tm26,NA,Yes
"rtems interrupt: _ISR_Flash",tm26,NA,Yes
,,,
"rtems_io_close: only case",tm20,NA,Yes
"rtems_io_control: only case",tm20,NA,Yes
"rtems_io_initialize: only case",tm20,NA,Yes
"rtems_io_open: only case",tm20,NA,Yes
"rtems_io_read: only case",tm20,NA,Yes
"rtems_io_write: only case",tm20,NA,Yes
,,,
"rtems_message_queue_broadcast: no waiting tasks",tm22,NA,Yes
"rtems_message_queue_broadcast: task readied returns to caller",tm22,NA,Yes
"rtems_message_queue_broadcast: task readied",tm22,NA,Yes
"rtems_message_queue_create: only case",tm09,NA,Yes
"rtems_message_queue_delete: only case",tm09,NA,Yes
"rtems_message_queue_flush: messages flushed",tm09,NA,Yes
"rtems_message_queue_flush: no messages flushed",tm09,NA,Yes
"rtems_message_queue_ident: only case",tm21,NA,Yes
"rtems_message_queue_receive: available",tm09,NA,Yes
"rtems_message_queue_receive: not available caller blocks",tm10,NA,Yes
"rtems_message_queue_receive: not available NO_WAIT",tm10,NA,Yes
"rtems_message_queue_send: no waiting tasks",tm09,NA,Yes
"rtems_message_queue_send: task readied preempts caller",tm11,NA,Yes
"rtems_message_queue_send: task readied returns to caller",tm12,NA,Yes
"rtems_message_queue_urgent: no waiting tasks",tm09,NA,Yes
"rtems_message_queue_urgent: task readied preempts caller",tm13,NA,Yes
"rtems_message_queue_urgent: task readied returns to caller",tm14,NA,Yes
,,,
"rtems_partition_create: only case",tm20,NA,Yes
"rtems_partition_delete: only case",tm20,NA,Yes
"rtems_partition_get_buffer: available",tm20,NA,Yes
"rtems_partition_get_buffer: not available",tm20,NA,Yes
"rtems_partition_ident: only case",tm21,NA,Yes
"rtems_partition_return_buffer: only case",tm20,NA,Yes
,,,
"rtems_port_create: only case",tm28,NA,Yes
"rtems_port_delete: only case",tm28,NA,Yes
"rtems_port_external_to_internal: only case",tm28,NA,Yes
"rtems_port_ident: only case",tm21,NA,Yes
"rtems_port_internal_to_external: only case",tm28,NA,Yes
,,,
"rtems_rate_monotonic_cancel: only case",tm29,NA,Yes
"rtems_rate_monotonic_create: only case",tm29,NA,Yes
"rtems_rate_monotonic_delete: active",tm29,NA,Yes
"rtems_rate_monotonic_delete: inactive",tm29,NA,Yes
"rtems_rate_monotonic_ident: only case",tm21,NA,Yes
"rtems_rate_monotonic_period: conclude periods caller blocks",tm29,NA,Yes
"rtems_rate_monotonic_period: initiate period returns to caller",tm29,NA,Yes
"rtems_rate_monotonic_period: obtain status",tm29,NA,Yes
,,,
"rtems_region_create: only case",tm20,NA,Yes
"rtems_region_delete: only case",tm20,NA,Yes
"rtems_region_get_segment: available",tm20,NA,Yes
"rtems_region_get_segment: not available caller blocks",tm20,NA,Yes
"rtems_region_get_segment: not available NO_WAIT",tm20,NA,Yes
"rtems_region_ident: only case",tm21,NA,Yes
"rtems_region_return_segment: no waiting tasks",tm20,NA,Yes
"rtems_region_return_segment: task readied preempts caller",tm20,NA,Yes
